ID,Codigo,Descripcion,FechaExtraccion
99,13,Diabetología,2026-01-31 18:05:35.903000
100,16,Enfermedades Respiratorias Del Adulto (Broncopulmonar),2026-01-31 18:05:35.907000
101,17,Enfermedades Respiratorias Pediátricas (Broncopulmonar Pediatrico),2026-01-31 18:05:35.910000
102,20,Genética Clínica,2026-01-31 18:05:35.910000
103,58,Ginecología,2026-01-31 18:05:35.913000
104,22,Ginecología Pediátrica y de la Adolescencia,2026-01-31 18:05:35.917000
105,23,Hematología,2026-01-31 18:05:35.920000
106,59,Hemato-Oncología Infantil,2026-01-31 18:05:35.923000
107,24,Imagenología,2026-01-31 18:05:35.923000
108,09-004,Imagenología Oral Y Maxilofacial,2026-01-31 18:05:35.927000
109,09-005,Implantología Buco Maxilofacial,2026-01-31 18:05:35.930000
110,25,Infectología,2026-01-31 18:05:35.937000
111,26,Inmunología,2026-01-31 18:05:35.940000
112,27,Laboratorio Clínico,2026-01-31 18:05:35.943000
113,61,Medicina Familiar del Niño,2026-01-31 18:05:35.947000
114,31,Medicina Intensiva Adulto,2026-01-31 18:05:35.950000
115,32,Medicina Intensiva Pediátrica,2026-01-31 18:05:35.950000
116,33,Medicina Legal,2026-01-31 18:05:35.953000
117,34,Medicina Materno Infantil,2026-01-31 18:05:35.960000
118,35,Medicina Nuclear (Excluye Informes),2026-01-31 18:05:35.963000
119,40,Neurocirugía,2026-01-31 18:05:35.967000
120,63,Nutriólogo,2026-01-31 18:05:35.970000
121,43,Obstetricia Y Ginecología,2026-01-31 18:05:35.973000
122,45,Oncología Médica,2026-01-31 18:05:35.973000
123,09-008,Ortodoncia Y Ortopedia Dento Máxilo Facial,2026-01-31 18:05:35.977000
124,09-009,Patología Oral,2026-01-31 18:05:35.980000
125,49,Psiquiatría Pediátrica Y De La Adolescencia,2026-01-31 18:05:35.983000
126,50|,Radioterapia Oncológica,2026-01-31 18:05:35.987000
127,09-011,Rehabilitación Oral,2026-01-31 18:05:35.990000
128,52,Salud Pública,2026-01-31 18:05:35.993000
129,09-012,Salud Pública Odontológica,2026-01-31 18:05:36
130,09-013,Somato-Prótesis,2026-01-31 18:05:36.003000
131,69,Medico General,2026-01-31 18:05:36.013000
