ID,Codigo,Descripcion,Tipo,FechaExtraccion
70,105102-UA002,Banco de Sangre-HOV,E,2026-01-31 18:05:40.827000
71,105102-UA003,Imagenología/Ultrasonografía-HOV,E,2026-01-31 18:05:40.830000
72,105102-UA004,Laboratorio Clínico-HOV,E,2026-01-31 18:05:40.833000
73,07-003,Cardiología,E,2026-01-31 18:05:40.837000
156,PEDI-HOV_105102 ,Pediatría HDATL ,E,2026-01-31 18:05:40.840000
157,AS-HDATL,Box Asistente Social HDATL,E,2026-01-31 18:05:40.840000
158,AS-MFR-HOV,Box Asistente Social_ Medicina Fisica y Rehabilitacion HDATL,E,2026-01-31 18:05:40.843000
159,AS-PSIQ-AD-HOV,Box Asistente Social_ Psiquiatria Adulto HDATL,E,2026-01-31 18:05:40.847000
160,AS-GINPED-HOV,Box Asistente Social_ Psiquiatria Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.850000
161,AS-PSIQ-IA-HOV,Box Asistente Social_Ginecologia pediatrica y de la adolescencia HDATL,E,2026-01-31 18:05:40.850000
162,AS-IVE-HOV,Box Asistente Social_IVE HDATL,E,2026-01-31 18:05:40.853000
163,AS-PAIG-HOV,Box Asistente Social_PAIG_ HDATL,E,2026-01-31 18:05:40.853000
164,FO-MFR-HOV,Box Fonoaudiologia_ Medicina Fisica y Rehabilitacion HDATL,E,2026-01-31 18:05:40.857000
165,KIN-MFR-HOV,Box Kinesiologia_ Medicina Fisica y Rehabilitacion HDATL,E,2026-01-31 18:05:40.860000
166,MAT-HOV,Box Matron(a) HDATL,E,2026-01-31 18:05:40.860000
167,MAT-GINPED-HOV,Box Matron(a)_Ginecologia Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.863000
168,MAT-PAIG-HOV,Box Matron(a)_PAIG HDATL,E,2026-01-31 18:05:40.867000
169,NUT-HOV,Box Nutricionista HDATL,E,2026-01-31 18:05:40.867000
170,PS-IVE-HOV,Box Psicologia_ IVE HDATL,E,2026-01-31 18:05:40.870000
171,PS-MFR-HOV,Box Psicologia_ Medicina Fisica y Rehabilitacion HDATL,E,2026-01-31 18:05:40.870000
172,PS-PAIG-HOV,Box Psicologia_ PAIG HDATL,E,2026-01-31 18:05:40.873000
173,PS-PSIQ-IA-HOV,Box Psicologia_ Psiquiatria Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.873000
174,PS-CESAM-HOV,Box Psicologia_CESAM HDATL,E,2026-01-31 18:05:40.877000
175,PS-CUID-HOV,Box Psicologia_Cuidados Paliativos y Alivio del Dolor HDATL,E,2026-01-31 18:05:40.883000
176,PS-GINPED-HOV,Box Psicologia_Ginecologia pediatrica y de la adolescencia HDATL,E,2026-01-31 18:05:40.887000
177,PS-FUNC-HOV,Box Psicologia_Policlinico de Funcionarios HDATL,E,2026-01-31 18:05:40.890000
178,PS-PSIQ-AD-HOV,Box Psicologia_Psiquiatria Adulto HDATL,E,2026-01-31 18:05:40.890000
179,PSICOPED-IA-HOV,Box Psicopedagoga_ Psiquiatria Infanto Adolescente HDATL,E,2026-01-31 18:05:40.890000
180,QF-HOV,Box Quimico Farmaceutico HDATL,E,2026-01-31 18:05:40.893000
181,TENS-PSIQ-AD-HOV,Box TENS Psiquiatria Adulto HDATL,E,2026-01-31 18:05:40.900000
182,TENS-CESAM-HOV,Box TENS Psiquiatria CESAM HDATL,E,2026-01-31 18:05:40.900000
183,TENS-PSIQ-IA-HOV,Box TENS Psiquiatria Infanto Adolescente HDATL,E,2026-01-31 18:05:40.903000
184,TO-MFR-HOV,Box Terapeuta Ocupacional_ Medicina Fisica y Rehabilitacion HDATL,E,2026-01-31 18:05:40.910000
185,TO-PSIQ-IA-HOV,Box Terapeuta Ocupacional_ Psiquiatria Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.913000
186,TO-CESAM-HOV,Box Terapeuta Ocupacional_CESAM HDATL,E,2026-01-31 18:05:40.917000
187,TO-DEME-HOV,Box Terapeuta Ocupacional_Programa Demencia HDATL,E,2026-01-31 18:05:40.923000
188,TO-PSIQ-AD-HOV,Box Terapeuta Ocupacional_Psiquiatria Adulto HDATL,E,2026-01-31 18:05:40.933000
189,TM-IMG-HOV,Box TM Imagenologia HDATL,E,2026-01-31 18:05:40.933000
190,TM-MT-HOV,Box TM Medicina Transfucional HDATL,E,2026-01-31 18:05:40.937000
