ID,Codigo,Descripcion
1,08,Centro de Formación Técnica
2,07,Centro de Formación Técnica Incompleta
3,03,Media
4,14,Educación Especial
5,04,Técnico de Nivel Superior
6,05,Profesional Universitario
7,02,Básica
8,12,Educación Universitaria
9,11,Educación Universitaria Incompleta
10,06,Sin Instrucción
11,09,Instituto Profesional Incompleto
12,15,Ninguno
13,97,No Recuerda
14,98,No Responde
15,13,Postgrado
16,01,Prebásica
