ID,Codigo,Descripcion
1,371923003,Leve a moderado
2,371924009,Moderado a severo
3,399166001,Fatal
4,442452003,Amenaza la vida
5,001,Moderada
6,002,Inactiva
7,003,Leve
8,004,Severa
