ID,Codigo,Nombre,NombreProducto,GenericoID,Activo
805,2170282,"ALUMINIO HIDROXIDO SUSPENSION ORAL 6,00% 180 ML",,40,Y
806,NOEXISTE22,ESOMEPRAZOL 10 MG,,264,Y
807,2140059XXX,LANSOPRAZOL 30MG GRANULOS REC. ENTERICO SO.,,428,Y
808,2140273,MISOPROSTOL COMPRIMIDO 200 MCG,,493,Y
809,2140202,OMEPRAZOL CAPSULA 20.0 mg,,540,Y
810,2160057,OMEPRAZOL 40 MG LIOFILIZADO P/ SOLN. INYECTABLE,,540,Y
811,2140086,RANITIDINA 300 MG CM,,620,Y
812,2160117,RANITIDINA SOLUCION INYECTABLE 50 MG/2ML,,620,Y
813,2142530,FINASTERIDE 5 MG COMPRIMIDOS,,788,Y
814,2140006,ACIDO FOLICO COMPRIMIDO 1 MG,,14,Y
815,2140007,ACIDO FOLICO COMPRIMIDO 5 MG,,14,Y
816,2160011,"CIANOCOBALAMINA 0,1 MG/ML SOL. INYECTABLE AM 1ML",,144,Y
817,2620022,ERITROPOYETINA SOLUCION INYECTABLE 2000 U,,259,Y
818,2142940,FERROSO SULFATO COMPRIMIDO 200 MG,,301,Y
819,2179009,FERROSO SULFATO SOLUCION PARA GOTAS ORALES 125 MG/ML,,301,Y
821,2160060,PIRIDOXINA 100 MG/ML AM 1 ML SOL. INYECTABLE,,582,Y
822,2149010,SULFATO FERR 525MG+AC ASCOR CM (FERRO F),,824,Y
823,2140028,ATENOLOL 50 MG,,66,Y
824,2140058,"CARVEDILOL 12,5 MG",,127,Y
825,2149998,CARVEDILOL COMPRIMIDO 25 MG,,127,Y
826,2140142,ISOSORBIDE DINITRATO 10 MG,,404,Y
827,NOEXISTE5,"NITROGLICERINA SOLUCION INYECTABLE 0,5 MG/10 ML",,527,Y
829,2140221,PROPRANOLOL COMPRIMIDO 10 MG,,614,Y
830,2140276,SILDENAFIL 50 MG COMPRIMIDO,,645,Y
831,2160073,VERAPAMILO 5 MG /2 ML,,750,Y
832,2160002,ADENOSINA AM 6 MG/2 ML ,,28,Y
833,2140025,AMIODARONA CLORHIDRATO 200 MG,,47,Y
834,2160006,AMIODARONA CLORHIDRATO 150 MG/3 ML SOL. INYECTABLE,,47,Y
835,2140091,"DIGOXINA 0,25 MG",,227,Y
836,2171322,"DIGOXINA SOLUCION ORAL 0,05 MG/ML",,227,Y
837,2140367,FLECAINIDA 100 MG COMPRIMIDOS,,789,Y
838,2161280,"LANATOSIDO C SOLUCION INYECTABLE 0,4 MG/2 ML",,426,Y
839,2140354,NIMODIPINO 30 MG,,521,Y
840,2139045,NISTATINA 100000 UI SUSPENSIÓN ORAL,,522,Y
841,2135655,NISTATINA OVULO VAGINAL 100.000 UI,,522,Y
842,2130040xxx,NISTATINA UNGÜENTO TOPICO 100.000 UI/G,,522,Y
843,2140366,PROPAFENONA 300 MG,,818,Y
844,2130015,AMIKACINA SULFATO 500 MG/2 ML,,44,Y
845,2130014,AMIKACINA SULFATO 100 MG/2 ML,,44,Y
846,2139050,AMOXICILINA + ACIDO CLAVULANICO 400 MG/57 MG/5 ML 70 ML SUSPENSION ORAL,,52,Y
847,2142230,AMOXICILINA + ACIDO CLAVULANICO COMPRIMIDO 875 MG/125 MG,,52,Y
848,2170400,AMOXICILINA 500 MG SUSP ORAL 60 ML,,51,Y
849,21300169,AMOXICILINA 500 MG,,51,Y
850,2130390,AMOXICILINA POLVO PARA SUSPENSION ORAL 250 MG/5 ML,,51,Y
851,2139019,AMPICILINA + SULBACTAM POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 1000 MG/500 MG,,54,Y
852,2130415,AMPICILINA POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 500 MG,,53,Y
853,2130034,AZITROMICINA 500 MG CM,,75,Y
854,2130015XX,AZITROMICINA POLVO PARA SOLUCION INYECTABLE 500 MG,,75,Y
855,2171201,AZITROMICINA SUSPENSION ORAL 200 MG/5 ML,,75,Y
856,2179019,BACITRACINA 50.000 U.I NEOMICINA 350 MG XILOMETAZOLINA CLORHIDRATO 50 MG ANTAZOLINA FOSFATO 500 MG. UNGÜENTO NASAL,,771,Y
857,2130181,PENICILINA G-BENZATINICA 1.200.000 UI,,570,Y
858,2130045,CEFADROXILO 500 MG,,129,Y
859,2130046,CEFADROXILO 250 MG/5 ML SUSPENSION ORAL,,129,Y
860,2131234,CEFAZOLINA POLVO PARA SOLUCION INYECTABLE 1 G,,130,Y
861,2130032XXX,CEFEPIMA POLVO PARA SOLUCION INYECTABLE 2 G,,131,Y
862,2130043xxx,CEFIXIMA COMPRIMIDO 400 MG,,132,Y
863,2130053,CEFOTAXIMA 1 GR,,134,Y
864,2140019xxx,CEFPODOXIMA  200 MG,,135,Y
865,2139046,CEFRADINA COMPRIMIDO 500 MG,,136,Y
866,2131001,"CEFTAZIDIMA + AVIBACTAM  2 G/0,5 G",,775,Y
867,2139034,CEFTAZIDIMA POLVO PARA SOLUCION INYECTABLE 1 G,,138,Y
868,2130057,CEFTRIAXONA 1 GR,,139,Y
869,2172115,CEFUROXIMA POLVO PARA SUSPENSION ORAL 250 MG/5 ML,,140,Y
870,2130066,CIPROFLOXACINO 500 MG,,156,Y
871,2130018xxx,CIPROFLOXACINO SOLUCION INYECTABLE 200 MG/100 ML,,156,Y
872,2130070,CLARITROMICINA 500 MG,,163,Y
873,2130071,CLARITROMICINA 250 MG/5ML SUSPENSION ORAL,,163,Y
874,2130072,CLINDAMICINA 300 MG,,164,Y
875,2130074,CLINDAMICINA 600 MG/4 ML SOL. INYECTABLE,,164,Y
876,2130077,"CLORANFENICOL 0,5 % SOL. OFTALMICA",,177,Y
877,2130079,"CLORANFENICOL 1% UNGUENTO OFTALMICO 3,5 GR",,177,Y
878,2130086,CLOXACILINA SODICA 500 MG CP,,188,Y
879,2130011xxx,CLOXACILINA POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 500 MG,,188,Y
880,2161370,COLISTIMETATO SODICO POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 3.000.000 UI,,195,Y
881,2161371,COLISTIMETATO SODICO POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 4.500.000 UI,,195,Y
882,2141393,COTRIMOXAZOL (SULFAMETOXAZOL/TRIMETOPRIM) COMPRIMIDO 800 MG /160 MG,,198,Y
883,2160070xxx,COTRIMOXAZOL (SULFAMETOXAZOL/TRIMETOPRIM) SOLUCION INYECTABLE 400 MG /80 MG,,198,Y
884,2130052,DAPSONA 100 MG,,206,Y
885,2130098,DOXICICLINA 100 MG,,243,Y
886,2132583,ERITROMICINA (ETILSUCCIONATO) COMPRIMIDO 500 MG,,258,Y
887,2130107,ERTAPENEM 1 GR,,260,Y
888,2130114,FLUCLOXACILINA COMPRIMIDO 500 MG,,306,Y
889,2130116,FLUCLOXACILINA POLVO PARA SUSPENSION ORAL 250 MG/5 ML,,306,Y
890,2133150,GENTAMICINA SOLUCION INYECTABLE 80 MG/2 ML,,342,Y
891,2139008,"GENTAMICINA SOLUCION OFTALMICA 0,30%",,342,Y
892,2133200,"GENTAMICINA UNGUENTO OFTALMICO 0,30%",,342,Y
893,2130134,IMIPENEM + CILASTATINA POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 500 MG/500 MG,,372,Y
894,2130146,LEVOFLOXACINO COMPRIMIDO 500 MG,,439,Y
896,2140104XXX,LINEZOLID COMPRIMIDO 600 MG,,448,Y
897,2160143XXX,LINEZOLID SOLUCION INYECTABLE 600 MG/300 ML,,448,Y
898,2130155,MEROPENEM POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 1 GR,,472,Y
899,2130156,MEROPENEM POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 500 MG,,472,Y
900,2130164,METRONIDAZOL 500 MG,,487,Y
901,2170056,METRONIDAZOL 500 MG OVULO,,487,Y
902,2163666,METRONIDAZOL SOLUCION INYECTABLE 500 MG/100 ML,,487,Y
903,2170162,"MOXIFLOXACINO 0,5% SOL. OFTALMICA",,502,Y
904,2141122,NITROFURANTOINA MACROCRISTALES 100 MG,,526,Y
905,2140274,NITROFURANTOINA MACROCRISTALES 50 MG,,526,Y
906,2130183,PENICILINA G-SODICA 1.000.000 UI,,570,Y
907,2130184,PENICILINA G SODICA POLVO PARA SOLUCION INYECTABLE 2.000.000 UI,,570,Y
908,2169019,"PIPERACILINA/TAZOBACTAM POLVO PARA SOLUCION INYECTABLE 4/0,5 GR",,577,Y
909,2137304,RIFAXIMINA COMPRIMIDO 200MG,,625,Y
910,2142158,SULFADIAZINA COMPRIMIDO 500 MG,,659,Y
911,2159017,SULFADIAZINA CREMA TOPICA 1% (10 MG/ GR),,659,Y
912,2130206,TIGECICLINA 50 MG,,689,Y
913,2137401,VANCOMICINA (CLORHIDRATO) POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 1 GR,,743,Y
914,2130210,VANCOMICINA FA 500 MG,,743,Y
915,2140001,ACENOCUMAROL 4 MG,,5,Y
916,2140011,ACIDO TRANEXAMICO 500 MG,,20,Y
917,2160026,ACIDO TRANEXAMICO 1 GR/10 ML IV SOL. INYECTABLE,,20,Y
918,2160040xxx,ACTIVADOR DEL PLASMINOGENO TISULAR HUMANO RECOMBINADO (RT-PA) SOLUCION INYECTABLE 50 MG/50 ML (ALTEPLASE),,25,Y
919,2140397,DABIGATRAN 110 MG,,781,Y
920,2140325,DABIGATRAN 150 MG,,781,Y
921,2160079xxx,DALTEPARINA SOLUCION INYECTABLE 10.000 UI,,203,Y
922,2160132xxx,DALTEPARINA SOLUCION INYECTABLE 2.500 UI,,203,Y
923,2160133xxx,DALTEPARINA SOLUCION INYECTABLE 5.000 UI,,203,Y
924,2160134xxx,DALTEPARINA SOLUCION INYECTABLE 7.500 UI,,203,Y
925,2162020,ENOXAPARINA SOLUCION INYECTABLE 20 MG,,253,Y
926,2160408,"ENOXAPARINA SODICA 40 MG/0,4 ML JERINGA PRELLENADA",,253,Y
927,2160129xxx,ENOXAPARINA SOLUCION INYECTABLE 60 MG,,253,Y
928,2160004,ENOXAPARINA SOLUCION INYECTABLE 80 MG,,253,Y
929,2162140,FITOQUINONA (VITAMINA K1) 10 MG/ML INTRAMUSCULAR,,305,Y
930,2162431,HEPARINA SODICA SOLUCION INYECTABLE 25.000 UI/5ML FRASCO 5 ML,,356,Y
931,2164868,PROTAMINA SULFATO SOLUCION INYECTABLE 50 MG/5 ML,,615,Y
932,2142016,RIVAROXABAN 15 MG COMPRIMIDOS RECUBIERTOS,,630,Y
933,2142017,RIVAROXABAN 20 MG COMPRIMIDO RECUBIERTO,,630,Y
934,NOEXISTE29,TENECTEPLASE SOLUCION INYECTABLE 10.000 UI (50 MG),,675,Y
935,2140409,TICAGRELOR 90MG CM,,827,Y
936,2140267,WARFARINA CM 5 MG,,759,Y
937,2141789,"LEVONORGESTREL 0,75 MCG IMPLANTE",,441,Y
938,2160088,LEVONORGESTREL 75MG IMPLANTE SUBCUTANEO,,441,Y
939,2140014,ACIDO VALPROICO 200 MG CM,,23,Y
940,2179001,ACIDO VALPROICO SOLUCION PARA GOTAS ORALES 375 MG/ML (10MG/GOTA) FRASCO 25 ML,,23,Y
941,2140056,CARBAMAZEPINA 200 MG,,123,Y
942,2142910,FENITOINA (SODICA) COMPRIMIDO 100 MG,,294,Y
943,2160029,FENITOINA SODICA 250 MG/5 ML SOL. INYECTABLE,,294,Y
944,2120020,CONT. FENOBARBITAL 100 MG,,295,Y
945,2122810,FENOBARBITAL COMPRIMIDO 15 MG,,295,Y
946,2122800,FENOBARBITAL SOLUCION INYECTABLE 200 MG,,295,Y
947,2140121,GABAPENTINA COMPRIMIDO 300 MG,,334,Y
948,2140338,LAMOTRIGINA COMPRIMIDO 100 MG,,425,Y
949,2140150,LAMOTRIGINA 50 MG,,425,Y
950,2140156-KE,LEVETIRACETAM 500 MG (KEPPRA) CM,,434,Y
951,2172117,LEVETIRACETAM SOLUCION ORAL 100 MG/ML,,434,Y
952,2120032,LORAZEPAM 2 MG,,456,Y
953,2142001,OXCARBAZEPINA 300 MG,,814,Y
954,2190035,PREGABALINA CAPSULA 75 MG,,605,Y
955,2140220,PRIMIDONA COMPRIMIDO 250 MG,,607,Y
956,2140252,TOPIRAMATO 100 MG,,703,Y
957,2140076,VIGABATRINA 500 MG CM.,,751,Y
958,2160072,"IDARUCIZUMAB  SOLUCION INYECTABLE 2,5 MG/50 ML",,779,Y
959,2160075,"FLUMAZENIL 0,5 MG/ 5 ML",,311,Y
960,2160001,"N-ACETIL CISTEINA SOLUCION ORAL 10,00%",,505,Y
961,2169030,DOMPERIDONA 10 MG/2 ML,,236,Y
962,2140097,DOMPERIDONA 10 MG,,236,Y
963,2160019,DOMPERIDONA 10 MG/2 ML SOL. INYECTABLE,,236,Y
964,2170029,DOMPERIDONA 10 MG/ML SOL. ORAL GOTAS,,236,Y
965,2145145,METOCLOPRAMIDA COMPRIMIDO 10 MG,,484,Y
966,2169011,METOCLOPRAMIDA SOLUCION INYECTABLE 10 MG/2 ML,,484,Y
967,2161465,ONDANSETRON COMPRIMIDO 8 MG,,541,Y
968,2161464,ONDANSETRON SOLUCION INYECTABLE 4 MG/2 ML,,541,Y
969,2141465,ONDASENTRON 4 MG,,541,Y
970,2170360,ANTIESPASMÓDICO PROPIFENAZONA + ADIFENINA SUPOSITORIO 440 MG + 50 MG,,610,Y
971,NOEXISTE12,ESCOPOLAMINA (N-BUTILBROMURO) SOLUCION INYECTABLE 20 MG/ML,,262,Y
972,2160059,PAPAVERINA SOLUCION INYECTABLE 80 MG/2 ML,,558,Y
973,2164707,PARGEVERINA ( CLORHIDRATO) SOLUCION INYECTABLE 5 MG/ML,,561,Y
974,2160280,PARGEVERINA + METAMIZOL MAGNÉSICO SOLUCIÓN INYECTABLE,,561,Y
975,4000410,ANFOTERICINA B LIPOSOMAL 50 MG,,57,Y
976,2130030,ANFOTERICINA B 50 MG LIPOSOMAL SOL  INY,,57,Y
977,NOEXISTE8,CASPOFUNGINA SOLUCION INYECTABLE 50 MG,,128,Y
978,NOEXISTE7,CASPOFUNGINA SOLUCION INYECTABLE 70 MG,,128,Y
979,2130117,FLUCONAZOL 150 MG,,307,Y
980,2130118,FLUCONAZOL 200/100 ML SOL. INYECTABLE,,307,Y
981,2145150xxx,VORICONAZOL 200 MG CMxxxx,,758,Y
982,2140413,VORICONAZOL 200 MG CM,,758,Y
983,2177000,"BETAXOLOL SOLUCION OFTALMICA 0,50%",,89,Y
984,2170014xxx,BRINZOLAMIDA / TIMOLOL SOLUCION OFTALMICA 10 MG/5 MG/ML,,102,Y
985,2170015xxx,BRINZOLAMIDA 10MG BRIMONIDINA 2MG/ 1ML SOLUCION OFTALMICA FRASCO 5 ML,,101,Y
986,2244444,"CARBACOL SOLUCION OFTALMICA 0,01%",,122,Y
987,2172500,LATANOPROST SOLUCION OFTALMICA 50 MCG/ML,,429,Y
