ID,Codigo,Descripcion,CodigoNacional,RegionID
227,12302,Primavera,,11
228,13123,Providencia,,10
229,05105,Puchuncaví,,9
230,09115,Pucón,,5
231,13124,Pudahuel,,10
232,13201,Puente Alto,,10
233,10101,Puerto Montt,,14
234,10302,Puerto Octay,,14
235,10109,Puerto Varas,,14
236,06309,Pumanque,,8
237,04304,Punitaqui,,4
238,12101,Punta Arenas,,11
239,10206,Puqueldón,,14
240,10303,Purranque,,14
241,09208,Purén,,5
242,05705,Putaendo,,9
243,01301,Putre,,15
244,10304,Puyehue,,14
245,10207,Queilén,,14
246,10208,Quellón,,14
247,10209,Quemchi,,14
248,08308,Quilaco,,6
249,13125,Quilicura,,10
250,08309,Quilleco,,6
251,05501,Quillota,,9
252,08413,Quillón,,6
253,05106,Quilpué,,9
254,1234,Quilpué,,9
255,10210,Quinchao,,14
256,06114,Quinta de Tilcoco,,8
257,13126,Quinta Normal,,10
258,05107,Quintero,,9
259,08414,Quirihue,,6
260,06101,Rancagua,,8
261,07305,Rauco,,7
262,13127,Recoleta,,10
263,09029,Renaico,,5
264,13128,Renca,,10
265,06115,Rengo,,8
266,06116,Requínoa,,8
267,07405,Retiro,,7
268,05303,Rinconada,,9
269,07306,Romeral,,7
270,08415,Ránquil,,6
271,10512,Río Bueno,,13
272,07108,Río Claro,,7
273,04305,Río Hurtado,,4
274,11402,Río Ibáñez,,12
275,10305,Río Negro,,14
276,12103,Río Verde,,11
277,09116,Saavedra,,5
278,07307,Sagrada Familia,,7
279,04204,Salamanca,,4
280,05601,San Antonio,,9
281,13401,San Bernardo,,10
282,08416,San Carlos,,6
283,07109,San Clemente,,7
284,05304,San Esteban,,9
285,08417,San Fabián,,6
286,05701,San Felipe,,9
287,06301,San Fernando,,8
288,12104,San Gregorio,,11
289,08418,San Ignacio,,6
290,07406,San Javier,,7
291,13129,San Joaquín,,10
292,13203,San José de Maipo,,10
293,10306,San Juan de la Costa,,14
294,13130,San Miguel,,10
295,08419,San Nicolás,,6
296,10307,San Pablo,,14
297,13505,San Pedro,,10
298,02203,San Pedro de Atacama,,2
299,08108,San Pedro de la Paz,,6
300,07110,San Rafael,,7
301,13131,San Ramón,,10
302,08310,San Rosendo,,6
303,08311,Santa Bárbara,,6
304,06310,Santa Cruz,,8
305,08109,Santa Juana,,6
306,05706,Santa María,,9
307,13101,Santiago,13101,10
308,13101 1,Santiago Occidente,,10
309,131012,Santiago Oriente,,10
310,05606,Santo Domingo,,9
311,06117,San Vicente,,8
312,02103,Sierra Gorda,,2
313,13601,Talagante,,10
314,07101,Talca,,7
315,08110,Talcahuano,,6
316,02104,Taltal,,2
317,09101,Temuco,,5
318,07308,Teno,,7
319,09117,Teodoro Schmidt,,5
320,03103,Tierra Amarilla,,1
321,13303,Tiltil,,10
322,12303,Timaukel,,11
323,08207,Tirúa,,6
324,02301,Tocopilla,,2
325,09118,Toltén,,5
326,08111,Tomé,,6
327,12402,Torres del Paine,,11
328,11303,Tortel,,12
329,09210,Traiguén,,5
330,08420,Treguaco,,6
331,08312,Tucapel,,6
332,10501,Valdivia,,13
333,03301,Vallenar,,1
334,05101,Valparaíso,,9
335,07309,Vichuquén,,7
336,09211,Victoria,,5
337,04106,Vicuña,,4
338,09119,Vilcún,,5
339,07407,Villa Alegre,,7
340,05108,Villa Alemana,,9
341,09120,Villarrica,,5
342,13132,Vitacura,,10
343,05109,Viña del Mar,,9
344,07408,Yerbas Buenas,,7
345,08313,Yumbel,,6
346,08421,Yungay,,6
347,05405,Zapallar,,9
348,08409,Ñiquén,,6
349,13120,Ñuñoa,,10
350,15101,Arica,01201,15
351,15102,Camarones,01202,15
352,15201,Putre,01301,15
353,15202,General Lagos,01302,15
354,01401,Pozo Almonte,01106,3
355,01402,Camiña,01102,3
356,01403,Colchane,01103,3
357,01404,Huara,01104,3
358,01405,Pica,01105,3
359,09209,Renaico,09029,5
360,14101,Valdivia,,13
361,14102,Corral,10502,13
362,14103,Lanco,10506,13
363,14104,Los Lagos,10507,13
364,14105,Máfil,10508,13
365,14106,Mariquina,10509,13
366,14107,Paillaco,10510,13
367,14108,Panguipulli,10511,13
368,14201,La Unión,10504,13
369,14202,Futrono,10503,13
370,14203,Lago Ranco,10505,13
371,14204,Río Bueno,10512,13
