ID,Codigo,Descripcion
1,1,A + Positivo
2,2,A - Negativo
3,3,B + Positivo
4,4,B - Negativo
5,5,AB + Positivo
6,6,AB - Negativo
7,7,O + Positivo
8,8,O - Negativo
