ID,Codigo,Descripcion
1,2,Casado (a)
2,5,Conviviente
3,9,Desconocido
4,6,Divorciado (a)
5,4,Separado (a)
6,1,Soltero (a)
7,7,Unión Civil
8,3,Viudo (a)
